Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Normalized Avoidance cost,Normalized Avoided CO2
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,77972.73745,302.23917,52.5080954
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,77972.73745,269.2895292,54.30089123
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,77972.73745,295.5079849,63.65902994
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,13673.90135,2795.334597,0.773280194
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,13673.90135,2557.139359,0.800037795
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,13673.90135,2679.762744,0.925797504
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,238469.9626,280.1673394,82.30218964
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,238469.9626,245.6919195,85.14138825
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,238469.9626,279.790328,99.95912437
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,85018.75991,316.5436121,44.89911132
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,85018.75991,282.4644673,46.10385707
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,85018.75991,309.5887682,55.02102042
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,106216.863,462.0883949,15.40635571
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,106216.863,408.75156,15.8178274
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,106216.863,457.2767612,18.85808678
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,HIGH,HEAVY,SOUR,12017.25181,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,HIGH,HEAVY,SOUR,12017.25181,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,HIGH,HEAVY,SOUR,12017.25181,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,HIGH,HEAVY,SOUR,260885.1846,0,0
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,HIGH,HEAVY,SOUR,260885.1846,0,0
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,HIGH,HEAVY,SOUR,260885.1846,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,HIGH,HEAVY,SOUR,1000,0,0
