Electrification Scenarios,Year,PADD,API Level,Sul Level,Attribute,Value,,,
LOW,2050,PADD 4,HEAVY,SWEET,2,0,0,1.210576422,46.89186137
LOW,2050,PADD 4,HEAVY,SWEET,3,205.3494872,6.542283578,1.210576422,46.89186137
LOW,2050,PADD 4,HEAVY,SWEET,4,13.09485688,23.85199251,1.210576422,46.89186137
LOW,2050,PADD 4,HEAVY,SWEET,5,0,0,1.210576422,46.89186137
LOW,2050,PADD 4,HEAVY,SWEET,6,6.1023E-10,1.210576422,1.210576422,46.89186137
LOW,2050,PADD 4,HEAVY,SOUR,0,67.57941815,0.918034189,21.22385467,48.28352112
LOW,2050,PADD 4,HEAVY,SOUR,1,392.1135694,35.04292396,21.22385467,48.28352112
LOW,2050,PADD 4,HEAVY,SOUR,2,0,0,21.22385467,48.28352112
LOW,2050,PADD 4,HEAVY,SOUR,3,205.3494872,10.6049869,21.22385467,48.28352112
LOW,2050,PADD 4,HEAVY,SOUR,4,13.09485688,32.21020028,21.22385467,48.28352112
LOW,2050,PADD 4,HEAVY,SOUR,5,0,0,21.22385467,48.28352112
LOW,2050,PADD 4,HEAVY,SOUR,6,6.1023E-10,21.22385467,21.22385467,48.28352112
LOW,2050,PADD 4,LIGHT,SWEET,0,67.57941815,2.179297044,1.210576422,46.89186137
LOW,2050,PADD 4,LIGHT,SWEET,1,392.1135694,66.21585044,1.210576422,46.89186137
LOW,2050,PADD 4,LIGHT,SWEET,2,0,0,1.210576422,46.89186137
LOW,2050,PADD 4,LIGHT,SWEET,3,205.3494872,6.542283578,1.210576422,46.89186137
LOW,2050,PADD 4,LIGHT,SWEET,4,13.12910334,23.85199251,1.210576422,46.89186137
LOW,2050,PADD 4,LIGHT,SWEET,5,0,0,1.210576422,46.89186137
LOW,2050,PADD 4,LIGHT,SWEET,6,5.6522E-10,1.210576422,1.210576422,46.89186137
LOW,2050,PADD 4,LIGHT,SOUR,0,67.57941815,0.918034189,21.22385467,46.89186137
LOW,2050,PADD 4,LIGHT,SOUR,1,392.1135694,35.04292396,21.22385467,46.89186137
LOW,2050,PADD 4,LIGHT,SOUR,2,0,0,21.22385467,46.89186137
LOW,2050,PADD 4,LIGHT,SOUR,3,205.3494872,10.6049869,21.22385467,46.89186137
LOW,2050,PADD 4,LIGHT,SOUR,4,13.12910334,32.21020028,21.22385467,46.89186137
LOW,2050,PADD 4,LIGHT,SOUR,5,0,0,21.22385467,46.89186137
LOW,2050,PADD 4,LIGHT,SOUR,6,5.6522E-10,21.22385467,21.22385467,46.89186137
LOW,2035,PADD 5,HEAVY,SWEET,0,539.891813,13.23523934,45.5196531,50.90397862
LOW,2035,PADD 5,HEAVY,SWEET,1,301.9512101,7.78890672,45.5196531,50.90397862
LOW,2035,PADD 5,HEAVY,SWEET,2,252.0174285,6.183814758,45.5196531,50.90397862
LOW,2035,PADD 5,HEAVY,SWEET,3,492.0630904,8.191559699,45.5196531,50.90397862
LOW,2035,PADD 5,HEAVY,SWEET,4,278.3741935,7.558824783,45.5196531,50.90397862
LOW,2035,PADD 5,HEAVY,SWEET,5,505.8885167,11.5220016,45.5196531,50.90397862
LOW,2035,PADD 5,HEAVY,SWEET,6,363.7935364,45.5196531,45.5196531,50.90397862
LOW,2035,PADD 5,HEAVY,SOUR,0,539.891813,13.23523934,45.51965311,50.90397862
LOW,2035,PADD 5,HEAVY,SOUR,1,301.9512101,7.788906721,45.51965311,50.90397862
LOW,2035,PADD 5,HEAVY,SOUR,2,252.0174285,6.183814746,45.51965311,50.90397862
LOW,2035,PADD 5,HEAVY,SOUR,3,492.0630904,8.191559701,45.51965311,50.90397862
LOW,2035,PADD 5,HEAVY,SOUR,4,278.3741935,7.558824784,45.51965311,50.90397862
LOW,2035,PADD 5,HEAVY,SOUR,5,505.8885167,11.5220016,45.51965311,50.90397862
LOW,2035,PADD 5,HEAVY,SOUR,6,363.7935364,45.51965311,45.51965311,50.90397862
LOW,2035,PADD 5,LIGHT,SWEET,0,539.8918084,13.23523934,45.5196531,50.90397862
LOW,2035,PADD 5,LIGHT,SWEET,1,301.9511883,7.78890672,45.5196531,50.90397862
LOW,2035,PADD 5,LIGHT,SWEET,2,252.0174178,6.183814758,45.5196531,50.90397862
LOW,2035,PADD 5,LIGHT,SWEET,3,492.063081,8.191559699,45.5196531,50.90397862
LOW,2035,PADD 5,LIGHT,SWEET,4,56.39317636,7.558824783,45.5196531,50.90397862
LOW,2035,PADD 5,LIGHT,SWEET,5,505.888494,11.5220016,45.5196531,50.90397862
LOW,2035,PADD 5,LIGHT,SWEET,6,585.7751415,45.5196531,45.5196531,50.90397862
LOW,2035,PADD 5,LIGHT,SOUR,0,539.8918084,13.23523934,45.51965311,50.90397862
LOW,2035,PADD 5,LIGHT,SOUR,1,301.9511883,7.788906721,45.51965311,50.90397862
LOW,2035,PADD 5,LIGHT,SOUR,2,252.0174178,6.183814746,45.51965311,50.90397862
LOW,2035,PADD 5,LIGHT,SOUR,3,492.063081,8.191559701,45.51965311,50.90397862
LOW,2035,PADD 5,LIGHT,SOUR,4,56.39317636,7.558824784,45.51965311,50.90397862
LOW,2035,PADD 5,LIGHT,SOUR,5,505.888494,11.5220016,45.51965311,50.90397862
LOW,2035,PADD 5,LIGHT,SOUR,6,585.7751415,45.51965311,45.51965311,50.90397862
LOW,2050,PADD 5,HEAVY,SWEET,0,843.4127618,19.68211994,43.2883922,46.89186137
LOW,2050,PADD 5,HEAVY,SWEET,1,354.93972,7.788906718,43.2883922,46.89186137
LOW,2050,PADD 5,HEAVY,SWEET,2,260.2811543,3.892039002,43.2883922,46.89186137
LOW,2050,PADD 5,HEAVY,SWEET,3,123.8779258,7.446739817,43.2883922,46.89186137
LOW,2050,PADD 5,HEAVY,SWEET,4,54.73974165,7.321788467,43.2883922,46.89186137
LOW,2050,PADD 5,HEAVY,SWEET,5,154.4862569,10.58001386,43.2883922,46.89186137
LOW,2050,PADD 5,HEAVY,SWEET,6,1039.708035,43.2883922,43.2883922,46.89186137
LOW,2050,PADD 5,HEAVY,SOUR,0,843.4127618,19.68211994,43.2883922,48.28352112
LOW,2050,PADD 5,HEAVY,SOUR,1,354.93972,7.788906718,43.2883922,48.28352112
LOW,2050,PADD 5,HEAVY,SOUR,2,260.2811543,3.892039002,43.2883922,48.28352112
LOW,2050,PADD 5,HEAVY,SOUR,3,123.8779258,7.446739817,43.2883922,48.28352112
LOW,2050,PADD 5,HEAVY,SOUR,4,54.73974165,7.321788467,43.2883922,48.28352112
LOW,2050,PADD 5,HEAVY,SOUR,5,154.4862569,10.58001386,43.2883922,48.28352112
LOW,2050,PADD 5,HEAVY,SOUR,6,1039.708035,43.2883922,43.2883922,48.28352112
LOW,2050,PADD 5,LIGHT,SWEET,0,532.7645424,19.68211994,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SWEET,1,290.253071,7.788906718,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SWEET,2,260.2798421,3.892039002,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SWEET,3,184.4543588,7.446739817,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SWEET,4,132.9748229,7.321788467,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SWEET,5,247.6077301,10.58001386,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SWEET,6,1182.734745,43.2883922,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SOUR,0,532.7645424,19.68211994,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SOUR,1,290.253071,7.788906718,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SOUR,2,260.2798421,3.892039002,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SOUR,3,184.4543588,7.446739817,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SOUR,4,132.9748229,7.321788467,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SOUR,5,247.6077301,10.58001386,43.2883922,46.89186137
LOW,2050,PADD 5,LIGHT,SOUR,6,1182.734745,43.2883922,43.2883922,46.89186137
MEDIUM,2035,PADD 1,HEAVY,SWEET,0,31.7975067,2.943433512,10.09013921,50.90397862
MEDIUM,2035,PADD 1,HEAVY,SWEET,1,277.1441154,53.78461789,10.09013921,50.90397862
MEDIUM,2035,PADD 1,HEAVY,SWEET,2,0,0,10.09013921,50.90397862
MEDIUM,2035,PADD 1,HEAVY,SWEET,3,77.55905548,14.79991006,10.09013921,50.90397862
