PADD,Year,API_BAU,API_LB,API_UB,Sulfur_BAU,Sulfur_LB,Sulfur_UB
4,2046,30.6440256,27.53943715,33.74861406,1.987048056,1.152204959,3.426786133
4,2047,30.54978663,27.38427762,33.71529564,2.015654597,1.155928798,3.514804252
4,2048,30.45554765,27.23009723,33.68099807,2.044672972,1.159890824,3.604380235
4,2049,30.36130868,27.07684213,33.64577522,2.074109109,1.16408056,3.695559177
4,2050,30.2670697,26.92446308,33.60967632,2.103969025,1.168488631,3.788385732
5,2021,28.76,28.76,28.76,1.25,1.25,1.25
5,2022,28.89610023,28.13269145,29.65950901,1.409288932,1.316953637,1.508098113
5,2023,29.00871464,28.154856,29.86257329,1.419463659,1.326004502,1.519509984
5,2024,29.12132906,28.185412,30.05724612,1.429711845,1.335110797,1.531015976
5,2025,29.23394348,28.22231479,30.24557217,1.440034021,1.344272826,1.542616901
5,2026,29.34655789,28.26423107,30.42888471,1.45043072,1.353490892,1.554313579
5,2027,29.45917231,28.31023449,30.60811013,1.46090248,1.362765304,1.566106835
5,2028,29.57178673,28.35965055,30.7839229,1.471449845,1.372096371,1.577997501
5,2029,29.68440114,28.41197022,30.95683207,1.482073358,1.381484409,1.589986413
5,2030,29.79701556,28.46679816,31.12723296,1.492773571,1.390929731,1.602074415
5,2031,29.90962998,28.52382014,31.29543982,1.503551037,1.400432657,1.614262356
5,2032,30.02224439,28.58278152,31.46170727,1.514406314,1.409993509,1.626551092
5,2033,30.13485881,28.64347259,31.62624503,1.525339963,1.419612611,1.638941486
5,2034,30.24747323,28.70571821,31.78922824,1.53635255,1.429290289,1.651434405
5,2035,30.36008764,28.76937033,31.95080496,1.547444646,1.439026874,1.664030724
5,2036,30.47270206,28.83430249,32.11110163,1.558616823,1.448822697,1.676731326
5,2037,30.58531648,28.90040568,32.27022728,1.569869662,1.458678095,1.689537097
5,2038,30.6979309,28.96758511,32.42827668,1.581203743,1.468593405,1.702448933
5,2039,30.81054531,29.03575781,32.58533282,1.592619653,1.478568968,1.715467735
5,2040,30.92315973,29.10485062,32.74146884,1.604117984,1.488605128,1.728594411
5,2041,31.03577415,29.17479867,32.89674962,1.615699329,1.498702231,1.741829877
5,2042,31.14838856,29.24554413,33.051233,1.62736429,1.508860626,1.755175054
5,2043,31.26100298,29.31703517,33.20497079,1.639113468,1.519080665,1.768630872
5,2044,31.3736174,29.38922515,33.35800965,1.650947473,1.529362702,1.782198268
5,2045,31.48623181,29.46207189,33.51039173,1.662866916,1.539707095,1.795878184
5,2046,31.59884623,29.53553716,33.6621553,1.674872415,1.550114204,1.809671571
5,2047,31.71146065,29.60958609,33.8133352,1.686964591,1.560584391,1.823579388
5,2048,31.82407506,29.68418687,33.96396326,1.699144069,1.571118023,1.837602602
5,2049,31.93668948,29.75931033,34.11406863,1.71141148,1.581715468,1.851742184
5,2050,32.0493039,29.83492964,34.26367815,1.723767459,1.592377096,1.865999115
