Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Avoidance Cost,"Avoided CO2, kt/y",Normalized Avoidance cost,Normalized Avoided CO2
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,281546.645,230.046367,130.7013526,0,0
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,281546.645,200.9974376,135.1947683,0,0
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,281546.645,229.0269769,158.8295106,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,2096.548901,0.988818467,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,1959.823295,1.004087201,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,2078.491979,1.169203285,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,77473.17331,290.8353911,45.78596791,300.8290472,57.35534463
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,77473.17331,258.9574999,47.35083473,269.0263848,59.31562809
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,77473.17331,282.6786443,55.4973001,292.6915495,69.52057406
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,67044.02554,292.4405366,45.02968851,355.942276,29.88189974
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,67044.02554,260.5019432,46.56828201,318.2348105,30.90291717
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,67044.02554,283.6418389,54.67642413,345.5543235,36.28351601
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,3211.617916,0.59328693,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,2991.348734,0.605703358,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,3145.734366,0.711464092,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,84437.73626,262.8769105,69.88799644,322.8941353,40.82524945
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,84437.73626,232.6062456,72.26416418,286.942216,42.21329383
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,84437.73626,258.0656482,84.56474686,317.1798864,49.39871024
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,12968.98839,686.018633,5.303956558,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,12968.98839,628.0294806,5.4875796,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,12968.98839,657.5644956,6.350600926,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,281546.645,217.9410677,172.0264956,289.1790606,76.79922965
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,281546.645,189.3941567,177.9370985,252.6999886,79.43794962
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,281546.645,218.9573312,208.8193,290.4777072,93.22494956
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,1853.126846,1.156833742,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,1731.261146,1.174912516,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,1834.583649,1.368286865,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,77473.17331,276.0035574,55.50307821,372.6662071,26.81295654
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,77473.17331,244.8427289,57.40300902,331.7979291,27.73079324
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,77473.17331,269.7242351,67.2355286,364.4307043,32.4807806
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,67044.02554,278.5073891,53.90319505,363.2704811,28.33149359
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,67044.02554,247.2259607,55.74896605,323.6681785,29.30162994
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,67044.02554,271.5163846,65.4100178,354.4198662,34.37947413
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,2017.266372,1.038828694,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,1885.927606,1.054496551,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,1979.46088,1.243617602,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,84437.73626,252.8693015,82.14540333,291.9896384,64.33445004
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,84437.73626,222.972627,84.94888767,258.7304699,66.53007652
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,84437.73626,249.1613791,99.52088504,287.8646841,77.94254026
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,10064.86874,820.2093259,3.846754236,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,10064.86874,752.8280231,3.978573574,0,0
