Refinery configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd","Total Avoided CO2_Avg,kt/y","Avoidance Cost Ref, $/t","Avoidance Cost 0.5Ref, $/t","Avoidance Cost 1.5Ref, $/t"
Hydroskimming Configuration (0),0,Hydrotreater,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,10.98418298,541.1711797,533.7092618,559.574016
Hydroskimming Configuration (0),0,Steam Boiler,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,1.481456523,1461.49555,1442.585924,1508.131114
Hydroskimming Configuration (0),0,SMR,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,6.836765853,648.6631097,648.6631097,648.6631097
Hydroskimming Configuration (0),0,Others,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,33.24437564,397.6383165,391.7500639,412.1601257
Medium Conversion:  FCC (1),1,No Carbon Capture,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,0,0,0,0
Medium Conversion:  FCC (1),1,ADU/VDU,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,492.4074202,269.0915873,268.3076547,271.0249485
Medium Conversion:  FCC (1),1,CNR,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,229.099191,295.3254954,294.5951949,297.1265872
Medium Conversion:  FCC (1),1,FCC/RFCC,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,417.0369082,183.2436933,182.0177317,186.2672018
Medium Conversion:  FCC (1),1,Coker,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,149.8547103,317.0446192,316.2070872,319.1101692
Medium Conversion:  FCC (1),1,Hydrotreater,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,308.7264682,284.4991142,283.7150875,286.4327077
Medium Conversion:  FCC (1),1,Steam Boiler,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,78.1377208,362.588056,361.6144641,364.9891613
Medium Conversion:  FCC (1),1,SMR,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,11.21360621,714.2914234,714.2914234,714.2914234
Medium Conversion:  FCC (1),1,Others,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,131.9263798,323.492382,322.4411285,326.0850195
Medium Conversion: GO-HC (2),2,No Carbon Capture,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,ADU/VDU,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,CNR,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,Coker,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,SMR,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,Others,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Medium Conversion: FCC & GO-HC (3),3,No Carbon Capture,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,0,0,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,138.3635848,304.443358,303.4397778,306.9184218
Medium Conversion: FCC & GO-HC (3),3,CNR,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,0,0,0,0
Medium Conversion: FCC & GO-HC (3),3,FCC/RFCC,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,97.63605858,234.1178569,230.4831853,243.0818077
Medium Conversion: FCC & GO-HC (3),3,Coker,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,48.21195337,364.4803113,363.0367424,368.0404901
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,90.62853074,326.9929182,325.5402961,330.5754244
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,14.6493786,509.6845035,507.2589544,515.6664752
Medium Conversion: FCC & GO-HC (3),3,SMR,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,87.09041583,277.0179706,277.0179706,277.0179706
Medium Conversion: FCC & GO-HC (3),3,Others,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,140.9764219,306.2661313,304.0082836,311.8345123
Deep Conversion: FCC (4),4,No Carbon Capture,2035,PADD1,LOW,LIGHT,SWEET,83726.72923,0,0,0,0
Deep Conversion: FCC (4),4,ADU/VDU,2035,PADD1,LOW,LIGHT,SWEET,83726.72923,143.4528801,268.0174189,267.0702078,270.3534634
Deep Conversion: FCC (4),4,CNR,2035,PADD1,LOW,LIGHT,SWEET,83726.72923,193.44615,255.597745,254.9764557,257.12999
Deep Conversion: FCC (4),4,FCC/RFCC,2035,PADD1,LOW,LIGHT,SWEET,83726.72923,80.57138364,263.7271939,261.6753216,268.7875914
Deep Conversion: FCC (4),4,Coker,2035,PADD1,LOW,LIGHT,SWEET,83726.72923,70.37850702,304.063992,302.7630093,307.2725199
Deep Conversion: FCC (4),4,Hydrotreater,2035,PADD1,LOW,LIGHT,SWEET,83726.72923,84.77707364,296.9197201,295.5174757,300.3779832
Deep Conversion: FCC (4),4,Steam Boiler,2035,PADD1,LOW,LIGHT,SWEET,83726.72923,27.3082847,435.6452751,433.4493638,441.0609063
Deep Conversion: FCC (4),4,SMR,2035,PADD1,LOW,LIGHT,SWEET,83726.72923,0,0,0,0
Deep Conversion: FCC (4),4,Others,2035,PADD1,LOW,LIGHT,SWEET,83726.72923,81.90243787,299.0696739,297.1700663,303.7545509
Deep Conversion: GO-HC (5),5,No Carbon Capture,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
