Refinery Configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Total Avoided CO2,kt/y","Marginal Abatement Cost, $/t"
Medium Conversion: GO-HC (2),2,FCC/RFCC,2035,1,MEDIUM,LIGHT,SWEET,0.00E+00,0
Medium Conversion: GO-HC (2),2,Coker,2035,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2035,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2035,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,SMR,2035,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Others,2035,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2035,1,MEDIUM,LIGHT,SWEET,105.5704118,327.2836214
Medium Conversion: FCC & GO-HC (3),3,CNR,2035,1,MEDIUM,LIGHT,SWEET,110.8980429,323.7532168
Medium Conversion: FCC & GO-HC (3),3,FCC/RFCC,2035,1,MEDIUM,LIGHT,SWEET,81.67226603,245.0513222
Medium Conversion: FCC & GO-HC (3),3,Coker,2035,1,MEDIUM,LIGHT,SWEET,30.75679206,423.0373498
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2035,1,MEDIUM,LIGHT,SWEET,122.0418319,320.268534
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2035,1,MEDIUM,LIGHT,SWEET,24.35406328,447.8440584
Medium Conversion: FCC & GO-HC (3),3,SMR,2035,1,MEDIUM,LIGHT,SWEET,32.31079586,364.4307043
Medium Conversion: FCC & GO-HC (3),3,Others,2035,1,MEDIUM,LIGHT,SWEET,24.28369777,456.8161287
Deep Conversion: FCC (4),4,ADU/VDU,2035,1,MEDIUM,LIGHT,SWEET,94.82705886,329.9180897
Deep Conversion: FCC (4),4,CNR,2035,1,MEDIUM,LIGHT,SWEET,67.82991368,346.3437531
Deep Conversion: FCC (4),4,FCC/RFCC,2035,1,MEDIUM,LIGHT,SWEET,106.9126755,229.1624123
Deep Conversion: FCC (4),4,Coker,2035,1,MEDIUM,LIGHT,SWEET,34.66458134,403.0754891
Deep Conversion: FCC (4),4,Hydrotreater,2035,1,MEDIUM,LIGHT,SWEET,113.4129639,320.8544811
Deep Conversion: FCC (4),4,Steam Boiler,2035,1,MEDIUM,LIGHT,SWEET,20.28735562,468.0520015
Deep Conversion: FCC (4),4,SMR,2035,1,MEDIUM,LIGHT,SWEET,34.19955278,354.4198662
Deep Conversion: FCC (4),4,Others,2035,1,MEDIUM,LIGHT,SWEET,17.82550668,494.4927921
Deep Conversion: GO-HC (5),5,ADU/VDU,2035,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,CNR,2035,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2035,1,MEDIUM,LIGHT,SWEET,0.00E+00,0
Deep Conversion: GO-HC (5),5,Coker,2035,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2035,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2035,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,SMR,2035,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Others,2035,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2035,1,MEDIUM,LIGHT,SWEET,119.5800732,319.610585
Deep Conversion: FCC & GO-HC (6),6,CNR,2035,1,MEDIUM,LIGHT,SWEET,87.55823806,336.918056
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2035,1,MEDIUM,LIGHT,SWEET,124.7810056,222.2708512
Deep Conversion: FCC & GO-HC (6),6,Coker,2035,1,MEDIUM,LIGHT,SWEET,41.86701671,389.9576429
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2035,1,MEDIUM,LIGHT,SWEET,143.3392181,313.2200055
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2035,1,MEDIUM,LIGHT,SWEET,25.51392346,443.0606178
Deep Conversion: FCC & GO-HC (6),6,SMR,2035,1,MEDIUM,LIGHT,SWEET,77.5346362,287.8646841
Deep Conversion: FCC & GO-HC (6),6,Others,2035,1,MEDIUM,LIGHT,SWEET,30.20921178,427.7158981
Hydroskimming Configuration (0),0,ADU/VDU,2050,1,MEDIUM,LIGHT,SWEET,14.2701697,498.3359236
Hydroskimming Configuration (0),0,CNR,2050,1,MEDIUM,LIGHT,SWEET,11.52087152,533.248891
Hydroskimming Configuration (0),0,FCC/RFCC,2050,1,MEDIUM,LIGHT,SWEET,3.56E-17,0
Hydroskimming Configuration (0),0,Coker,2050,1,MEDIUM,LIGHT,SWEET,1.98E-17,0
Hydroskimming Configuration (0),0,Hydrotreater,2050,1,MEDIUM,LIGHT,SWEET,18.65700451,464.8425396
Hydroskimming Configuration (0),0,Steam Boiler,2050,1,MEDIUM,LIGHT,SWEET,2.881557942,982.6873671
Hydroskimming Configuration (0),0,SMR,2050,1,MEDIUM,LIGHT,SWEET,0.91807597,2679.762744
Hydroskimming Configuration (0),0,Others,2050,1,MEDIUM,LIGHT,SWEET,2.869629292,1016.722355
Medium Conversion:  FCC (1),1,ADU/VDU,2050,1,MEDIUM,LIGHT,SWEET,328.9206916,282.2317946
Medium Conversion:  FCC (1),1,CNR,2050,1,MEDIUM,LIGHT,SWEET,167.4341996,309.6168581
Medium Conversion:  FCC (1),1,FCC/RFCC,2050,1,MEDIUM,LIGHT,SWEET,288.0153576,193.5459258
Medium Conversion:  FCC (1),1,Coker,2050,1,MEDIUM,LIGHT,SWEET,96.66245621,341.2491872
Medium Conversion:  FCC (1),1,Hydrotreater,2050,1,MEDIUM,LIGHT,SWEET,384.0656721,277.434787
Medium Conversion:  FCC (1),1,Steam Boiler,2050,1,MEDIUM,LIGHT,SWEET,61.95937321,372.5349996
Medium Conversion:  FCC (1),1,SMR,2050,1,MEDIUM,LIGHT,SWEET,99.12542391,279.790328
Medium Conversion:  FCC (1),1,Others,2050,1,MEDIUM,LIGHT,SWEET,62.88368068,377.4900953
Medium Conversion: GO-HC (2),2,ADU/VDU,2050,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,CNR,2050,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2050,1,MEDIUM,LIGHT,SWEET,0.00E+00,0
Medium Conversion: GO-HC (2),2,Coker,2050,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2050,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2050,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,SMR,2050,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Others,2050,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2050,1,MEDIUM,LIGHT,SWEET,116.2111357,322.3254256
Medium Conversion: FCC & GO-HC (3),3,CNR,2050,1,MEDIUM,LIGHT,SWEET,77.96573412,345.384576
Medium Conversion: FCC & GO-HC (3),3,FCC/RFCC,2050,1,MEDIUM,LIGHT,SWEET,67.7677546,252.4467281
Medium Conversion: FCC & GO-HC (3),3,Coker,2050,1,MEDIUM,LIGHT,SWEET,41.60343203,390.6667706
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2050,1,MEDIUM,LIGHT,SWEET,132.8321716,316.2217751
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2050,1,MEDIUM,LIGHT,SWEET,23.09497676,453.0188809
Medium Conversion: FCC & GO-HC (3),3,SMR,2050,1,MEDIUM,LIGHT,SWEET,54.56212234,309.5887682
Medium Conversion: FCC & GO-HC (3),3,Others,2050,1,MEDIUM,LIGHT,SWEET,25.76321083,447.4406106
Deep Conversion: FCC (4),4,ADU/VDU,2050,1,MEDIUM,LIGHT,SWEET,144.8638362,313.9640505
Deep Conversion: FCC (4),4,CNR,2050,1,MEDIUM,LIGHT,SWEET,95.84635153,333.908253
Deep Conversion: FCC (4),4,FCC/RFCC,2050,1,MEDIUM,LIGHT,SWEET,99.17179603,235.0155545
Deep Conversion: FCC (4),4,Coker,2050,1,MEDIUM,LIGHT,SWEET,64.45752746,357.3205193
Deep Conversion: FCC (4),4,Hydrotreater,2050,1,MEDIUM,LIGHT,SWEET,188.8344933,301.9734968
Deep Conversion: FCC (4),4,Steam Boiler,2050,1,MEDIUM,LIGHT,SWEET,29.9680172,427.144713
Deep Conversion: FCC (4),4,SMR,2050,1,MEDIUM,LIGHT,SWEET,18.70080253,457.2767612
Deep Conversion: FCC (4),4,Others,2050,1,MEDIUM,LIGHT,SWEET,14.74221243,556.6076114
Deep Conversion: GO-HC (5),5,ADU/VDU,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,CNR,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2050,1,MEDIUM,LIGHT,SWEET,0.00E+00,0
Deep Conversion: GO-HC (5),5,Coker,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,SMR,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Others,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,CNR,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,Coker,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,2050,1,MEDIUM,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,Others,2050,1,MEDIUM,LIGHT,SWEET,0,0
Hydroskimming Configuration (0),0,ADU/VDU,2035,1,HIGH,LIGHT,SWEET,12.44980459,522.2924772
Hydroskimming Configuration (0),0,CNR,2035,1,HIGH,LIGHT,SWEET,21.58386766,442.5872673
Hydroskimming Configuration (0),0,FCC/RFCC,2035,1,HIGH,LIGHT,SWEET,3.55E-17,0
Hydroskimming Configuration (0),0,Coker,2035,1,HIGH,LIGHT,SWEET,1.67E-17,0
Hydroskimming Configuration (0),0,Hydrotreater,2035,1,HIGH,LIGHT,SWEET,16.59653424,482.2162334
Hydroskimming Configuration (0),0,Steam Boiler,2035,1,HIGH,LIGHT,SWEET,3.433031792,897.7598854
Hydroskimming Configuration (0),0,SMR,2035,1,HIGH,LIGHT,SWEET,0,0
Hydroskimming Configuration (0),0,Others,2035,1,HIGH,LIGHT,SWEET,2.414670574,1137.810662
Medium Conversion:  FCC (1),1,ADU/VDU,2035,1,HIGH,LIGHT,SWEET,364.82308,279.3784257
Medium Conversion:  FCC (1),1,CNR,2035,1,HIGH,LIGHT,SWEET,250.5825771,292.5063925
Medium Conversion:  FCC (1),1,FCC/RFCC,2035,1,HIGH,LIGHT,SWEET,336.9372857,189.2368643
Medium Conversion:  FCC (1),1,Coker,2035,1,HIGH,LIGHT,SWEET,137.5893168,321.8734244
Medium Conversion:  FCC (1),1,Hydrotreater,2035,1,HIGH,LIGHT,SWEET,417.5271965,275.2697683
Medium Conversion:  FCC (1),1,Steam Boiler,2035,1,HIGH,LIGHT,SWEET,70.36396867,369.2227303
Medium Conversion:  FCC (1),1,SMR,2035,1,HIGH,LIGHT,SWEET,84.52014646,294.0077588
Medium Conversion:  FCC (1),1,Others,2035,1,HIGH,LIGHT,SWEET,77.17816492,361.4751539
Medium Conversion: GO-HC (2),2,ADU/VDU,2035,1,HIGH,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,CNR,2035,1,HIGH,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2035,1,HIGH,LIGHT,SWEET,0.00E+00,0
Medium Conversion: GO-HC (2),2,Coker,2035,1,HIGH,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2035,1,HIGH,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2035,1,HIGH,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,SMR,2035,1,HIGH,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Others,2035,1,HIGH,LIGHT,SWEET,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2035,1,HIGH,LIGHT,SWEET,101.3263892,326.5194791
